NAME	S0801_C01_010E	state	place
Alhambra city, California	1.2	06	00884
Anaheim city, California	1.7	06	02000
Baldwin Park city, California	1.1	06	03666
Bellflower city, California	2.1	06	04982
Buena Park city, California	1.1	06	08786
Burbank city, California	4.5	06	08954
Carson city, California	2.0	06	11530
Compton city, California	0.3	06	15044
Costa Mesa city, California	1.2	06	16532
Downey city, California	1.8	06	19766
East Los Angeles CDP, California	3.1	06	20802
El Monte city, California	2.6	06	22230
Fullerton city, California	1.1	06	28000
Garden Grove city, California	0.6	06	29000
Glendale city, California	2.5	06	30000
Hawthorne city, California	2.4	06	32548
Huntington Beach city, California	1.7	06	36000
Inglewood city, California	2.8	06	36546
Irvine city, California	3.4	06	36770
Lake Forest city, California	-999999999.0	06	39496
Lakewood city, California	-999999999.0	06	39892
Lancaster city, California	1.2	06	40130
Long Beach city, California	2.6	06	43000
Los Angeles city, California	3.0	06	44000
Lynwood city, California	1.0	06	44574
Mission Viejo city, California	2.3	06	48256
Newport Beach city, California	-999999999.0	06	51182
Norwalk city, California	0.7	06	52526
Orange city, California	2.4	06	53980
Palmdale city, California	0.6	06	55156
Pasadena city, California	5.1	06	56000
Pomona city, California	1.9	06	58072
Redondo Beach city, California	-999999999.0	06	60018
Santa Ana city, California	0.8	06	69000
Santa Clarita city, California	1.1	06	69088
Santa Monica city, California	6.1	06	70000
South Gate city, California	2.4	06	73080
Torrance city, California	0.8	06	80000
Tustin city, California	0.6	06	80854
Walnut Creek city, California	4.5	06	83346
West Covina city, California	0.8	06	84200
Westminster city, California	1.0	06	84550
Whittier city, California	0.3	06	85292
Yorba Linda city, California	-999999999.0	06	86832
